드롭다운이름,lat,lon,사고건수,가로등수
동대문구 회기역앞교차로,37.58988741506412,127.05577487261051,26,26
동대문구 휘경빗물펌프장,37.58867328761932,127.06867013812864,27,46
동대문구 우리은행청량리중앙지(북북서방향 98M),37.579766366775175,127.04083490333203,23,0
동대문구 경동시장앞교차로(북북동방향 86M),37.578857050377444,127.03879664878004,28,0
동대문구 홍파초교앞교차로,37.58640747044976,127.03850619462285,22,13
동대문구 촬영소사거리,37.57288024311199,127.06626712046751,26,0
동대문구 시립동부병원앞교차로,37.57393998060734,127.0307907635745,18,0
동대문구 장안동사무소,37.57267164950442,127.06865544293838,23,0
동대문구 장안동삼거리,37.579165311576105,127.07283882547046,22,0
동대문구 용두동사거리,37.57758901385683,127.03076962472483,19,0
동대문구 경동시장앞교차로,37.578226480515724,127.03841141501441,52,0
동대문구 용신동주민센터(동남동방향 63M),37.57586595298569,127.03817247355971,23,0
동대문구 경동시장앞교차로(북방향 166M),37.579677102691456,127.03834423421813,21,0
동대문구 고대앞삼거리,37.58927329830265,127.03639037188537,19,18
동작구 상도3동주민센터,37.49933927498061,126.93143437097584,21,0
동작구 한강대교남단교차로(남서방향 52M),37.513352454137795,126.9556157291918,39,95
동작구 상도역,37.50355550944779,126.94819118963761,23,0
동작구 상도터널입구삼거리,37.51275746978471,126.95476776508964,19,68
동작구 흑석동26-214(서북서방향 109M),37.50717496034086,126.96583235634228,17,18
동작구 장승배기사거리(북방향 257M),37.50819180318447,126.93998809317605,21,0
동작구 노량진삼거리,37.513201488666645,126.9401876793351,21,1
동작구 여의상류IC(서방향 235M),37.5158415373058,126.94040048802586,23,102
동작구 대림아파트앞교차로,37.50898444554589,126.92392681084773,18,1
동작구 상도터널사거리,37.504367169914886,126.94994361981692,24,0
동작구 남성역7호선,37.48395777511927,126.9725816317868,23,0
동작구 중앙학원,37.51377101644887,126.94405559989625,26,0
동작구 대방천사거리,37.498368292563384,126.9204205717437,20,0
동작구 국립현충원앞교차로(동남동방향 420M),37.50192527450745,126.97957549007616,27,79
동작구 보라매역앞교차로,37.49995413055838,126.92052066936665,28,0
동작구 명수대상가,37.50712865488832,126.96173814411047,19,0
동작구 상도역앞교차로(남남동방향 248M),37.50128538866892,126.94914272721137,23,0
동작구 리치타운,37.49731337353963,126.95256060486538,27,0
동작구 수산시장입구교차로,37.51361004953106,126.94667987531368,26,0
동작구 대성문구인쇄,37.484598888404065,126.9794671412944,24,0
동작구 이수역앞교차로(서남서방향 70M),37.48513981540459,126.98141174938361,26,0
동작구 숭실대입구역삼거리,37.495548091899444,126.9543145064239,32,0
동작구 신대방삼거리역앞교차로,37.49942749524395,126.92826780570789,34,0
동작구 장승배기교차로,37.505164092641316,126.93933455192804,29,0
동작구 신대방동빌딩,37.49855348549195,126.92821209804848,32,0
동작구 성대약국,37.50021369417447,126.93220258290188,34,0
동작구 대림사거리,37.48879843096086,126.90652278287777,39,0
동작구 한강대교남단교차로,37.5135328156253,126.95604544049334,53,99
동작구 국립현충원앞교차로,37.504077929505236,126.97562786130149,58,49
동작구 상도역앞교차로,37.5032669334019,126.94761460690624,62,0
마포구 성산2교앞교차로,37.56525223258157,126.9114642065858,21,21
마포구 월드컵경기장교차로,37.567688436611306,126.89387131213891,22,0
마포구 홍대입구역앞교차로,37.555069196746,126.9217070722291,48,0
마포구 신촌로터리,37.55488892984245,126.936612078007,42,0
마포구 일진빌딩,37.54023488633523,126.94719272804866,29,0
마포구 합정역8번출구,37.54893579728773,126.91229828620769,31,8
마포구 서교동사거리,37.55285019302402,126.91795216942137,35,0
마포구 홀리데이인서울,37.541289635433266,126.94850454670741,26,0
마포구 동교동삼거리,37.55870331180664,126.92652466369621,28,0
